serial_number,website_name,url,title,date,content
1,NDTV,https://www.ndtv.com/health/poor-aqi-can-air-pollution-affect-sperm-health-7518564,Poor AQI: Can Air Pollution Affect Sperm Health?,"Jan 20, 2025 20:11 pm IST","Environmental factors, including air pollution, can harm sperm health. Polluted air contains harmful substances like tiny particles, toxic gases, and heavy metals, which can enter the body through breathing and travel to the reproductive system. These pollutants may disrupt the production of healthy sperm, reduce their movement, and even damage their structure, making it harder for men to conceive. Additionally, air pollution can lead to hormonal imbalances and damage sperm DNA, which can impact fertility and even the health of future children."
1,NDTV,https://www.ndtv.com/health/poor-aqi-can-air-pollution-affect-sperm-health-7518564,Poor AQI: Can Air Pollution Affect Sperm Health?,"Jan 20, 2025 20:11 pm IST","Environmental factors, including air pollution, can harm sperm health. Polluted air contains harmful substances like tiny particles, toxic gases, and heavy metals, which can enter the body through breathing and travel to the reproductive system. These pollutants may disrupt the production of healthy sperm, reduce their movement, and even damage their structure, making it harder for men to conceive. Additionally, air pollution can lead to hormonal imbalances and damage sperm DNA, which can impact fertility and even the health of future children."
2,NDTV,https://www.ndtv.com/health/heres-why-youre-at-a-higher-risk-of-stroke-in-winter-7517510,Here's Why You're At A Higher Risk Of Stroke In Winter,"Jan 21, 2025 15:16 pm IST","A stroke occurs when blood flow to a part of the brain is disrupted, either by a blocked artery (ischemic stroke) or a ruptured blood vessel (hemorrhagic stroke). This interruption deprives brain cells of oxygen and nutrients, causing them to die within minutes. Winter is associated with a higher risk of stroke due to physiological and environmental factors such as cold temperatures, increased blood pressure, and lifestyle changes during the season. Understanding these risks and taking preventive measures can reduce the likelihood of strokes in colder months. Read on as we discuss common causes of stroke in winter and how to prevent it."
2,NDTV,https://www.ndtv.com/health/heres-why-youre-at-a-higher-risk-of-stroke-in-winter-7517510,Here's Why You're At A Higher Risk Of Stroke In Winter,"Jan 21, 2025 15:16 pm IST","A stroke occurs when blood flow to a part of the brain is disrupted, either by a blocked artery (ischemic stroke) or a ruptured blood vessel (hemorrhagic stroke). This interruption deprives brain cells of oxygen and nutrients, causing them to die within minutes. Winter is associated with a higher risk of stroke due to physiological and environmental factors such as cold temperatures, increased blood pressure, and lifestyle changes during the season. Understanding these risks and taking preventive measures can reduce the likelihood of strokes in colder months. Read on as we discuss common causes of stroke in winter and how to prevent it."
3,NDTV,https://www.ndtv.com/india-news/arvind-kejriwal-2025-delhi-asssembly-elections-aap-chief-on-3-promises-he-couldnt-fulfil-and-when-theyd-be-done-7507642,"Ahead Of Polls, Arvind Kejriwal Says He ""Could Not Fulfil"" These 3 Promises","Jan 19, 2025 10:34 am IST",Arvind Kejriwal was addressing a gathering in Laxmi Bai Nagar ahead of Delhi assembly polls (File)
3,NDTV,https://www.ndtv.com/india-news/arvind-kejriwal-2025-delhi-asssembly-elections-aap-chief-on-3-promises-he-couldnt-fulfil-and-when-theyd-be-done-7507642,"Ahead Of Polls, Arvind Kejriwal Says He ""Could Not Fulfil"" These 3 Promises","Jan 19, 2025 10:34 am IST",Arvind Kejriwal was addressing a gathering in Laxmi Bai Nagar ahead of Delhi assembly polls (File)
4,NDTV,https://www.ndtv.com/india-news/air-quality-improves-pollution-curbs-under-grap-3-revoked-in-delhi-7496724,"Pollution Curbs Eased In Delhi, These Categories Of Cars Can Be Used Again","Jan 17, 2025 19:13 pm IST",Anti-pollution curbs under Stage-III of the Graded Response Action Plan (GRAP) were revoked in Delhi and its neighbouring areas today amid a dip in air pollution levels. The curbs have been eased further a day after the centre's panel on Delhi-NCR's air quality rolled back GRAP-4.
4,NDTV,https://www.ndtv.com/india-news/air-quality-improves-pollution-curbs-under-grap-3-revoked-in-delhi-7496724,"Pollution Curbs Eased In Delhi, These Categories Of Cars Can Be Used Again","Jan 17, 2025 19:13 pm IST",Anti-pollution curbs under Stage-III of the Graded Response Action Plan (GRAP) were revoked in Delhi and its neighbouring areas today amid a dip in air pollution levels. The curbs have been eased further a day after the centre's panel on Delhi-NCR's air quality rolled back GRAP-4.
5,NDTV,https://www.ndtv.com/india-news/pollution-curbs-under-grap-4-revoked-in-delhi-grap-3-to-stay-7489037,"Pollution Curbs Under GRAP-4 Revoked In Delhi, GRAP-3 To Stay","Jan 16, 2025 19:53 pm IST","The authorities have removed curbs due to pollution in Delhi and nearby cities, after light rain improved air quality in the region."
5,NDTV,https://www.ndtv.com/india-news/pollution-curbs-under-grap-4-revoked-in-delhi-grap-3-to-stay-7489037,"Pollution Curbs Under GRAP-4 Revoked In Delhi, GRAP-3 To Stay","Jan 16, 2025 19:53 pm IST","The authorities have removed curbs due to pollution in Delhi and nearby cities, after light rain improved air quality in the region."
